name,instockprice,,pid,image,url
    small-world-toys-young-chef-cookware-set,False,23.99,A-10208696,,    https://www.target.com/p/small-world-toys-young-chef-cookware-set/-/A-10208696
    munchkin-white-hot-174-inflatable-duck-safety-baby-bath-tub,False,11.99,A-10209874,,    https://www.target.com/p/munchkin-white-hot-174-inflatable-duck-safety-baby-bath-tub/-/A-10209874
    pet-gear-happy-trails-plus-stroller-medium-pink-ice,False,89.99,A-10211638,,    https://www.target.com/p/pet-gear-happy-trails-plus-stroller-medium-pink-ice/-/A-10211638
    detroit-lions-bedding-collection,False,89.99,A-10212461,,    https://www.target.com/p/detroit-lions-bedding-collection/-/A-10212461
    jacksonville-jaguars-bedding-collection,False,89.99,A-10212473,,    https://www.target.com/p/jacksonville-jaguars-bedding-collection/-/A-10212473
    philadelphia-eagles-bedding-collection,False,89.99,A-10212499,,    https://www.target.com/p/philadelphia-eagles-bedding-collection/-/A-10212499
    melissa-doug-174-stacking-train-classic-wooden-toddler-toy-18pc,False,16.99,A-10214088,,    https://www.target.com/p/melissa-doug-174-stacking-train-classic-wooden-toddler-toy-18pc/-/A-10214088
    milan-26-counter-stool-metal-buckskin-hillsdale-furniture,False,160.54,A-10215967,,    https://www.target.com/p/milan-26-counter-stool-metal-buckskin-hillsdale-furniture/-/A-10215967
spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti
spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti
spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,spaghetti
